Bo_Age,Ln_Orig,Orig_LTV_Ratio_Pct,Credit_score,First_home,Tot_mthly_debt_exp,Tot_mthly_incm,pur_prc_amt,DTI Ratio,OUTCOME,Median_state_inc
37,289750,95,783,Y,1554,2633,139900,0.590201,non-default,"40,171"
37,84500,100,750,N,2338,6013,86500,0.388824,non-default,"38,111"
27,135700,97,595,Y,2422,4936,219000,0.490681,non-default,"45,787"
42,224401,90,624,N,1348,5025,150000,0.268276,default,"44,476"
31,274000,100,781,N,1242,4916,70000,0.252644,non-default,"39,000"
34,131600,80,640,N,2337,6000,175000,0.3895,non-default,"56,763"
27,87000,100,777,N,1271,4948,139500,0.256871,non-default,"44,160"
37,246324,80,689,N,395,1581,28000,0.249842,non-default,"44,286"
37,156000,80,687,Y,1302,2685,166112,0.484916,non-default,"42,590"
37,220160,95,783,N,3585,8796,295000,0.407572,non-default,"53,123"
21,60000,98,685,N,1444,6800,165000,0.212353,non-default,"49,894"
25,83500,100,716,N,5091,7416,303000,0.686489,non-default,"56,763"
37,172000,80,681,N,720,3000,78900,0.24,non-default,"40,171"
55,121600,95,632,N,4253,10291,229500,0.413274,non-default,"41,275"
39,63400,100,665,Y,0,6375,330000,0,non-default,"49,894"
37,120000,75,708,Y,1041,3641,155000,0.28591,non-default,"49,894"
25,154280,102,724,N,1015,3365,196705,0.301634,non-default,"51,022"
27,145000,88,651,N,1272,4080,74900,0.311765,non-default,"55,970"
55,108500,100,764,N,719,3533,75000,0.20351,default,"38,550"
25,103500,100,701,N,2184,7495,268000,0.291394,non-default,"49,894"
35,180000,100,690,N,1177,6956,180000,0.169206,non-default,"49,894"
31,179950,80,625,N,1173,4266,186900,0.274965,non-default,"43,217"
33,115000,100,734,N,2864,5537,283000,0.517248,non-default,"43,988"
48,160650,90,568,Y,1054,2593,138000,0.406479,non-default,"43,988"
37,29700,90,623,N,4450,9300,170000,0.478495,non-default,"41,275"
34,87750,90,669,N,2506,7279,122000,0.344278,non-default,"56,763"
53,286700,90,691,Y,4513,5025,336600,0.898166,non-default,"43,217"
25,170400,80,784,N,877,3154,120355,0.27806,non-default,"42,617"
25,58900,95,642,N,2796,6412,209000,0.436057,non-default,"53,275"
31,97500,100,724,N,2444,6451,170000,0.378856,non-default,"49,894"
36,198100,100,692,N,2212,5531,128200,0.399928,non-default,"38,550"
59,190800,90,767,N,6245,10042,274950,0.621888,non-default,"48,688"
34,260000,100,762,N,1348,3270,133900,0.412232,non-default,"45,787"
28,87000,100,574,Y,1984,3759,187500,0.5278,non-default,"53,275"
50,193500,90,645,N,3195,5025,149230,0.635861,non-default,"41,275"
22,92000,100,766,Y,2774,7561,229000,0.366883,non-default,"55,970"
36,232750,95,681,N,1060,1907,124000,0.555847,non-default,"40,171"
40,140000,60,900,N,831,3333,105000,0.249325,non-default,"56,763"
35,170000,88,662,Y,1810,3084,139747,0.5869,non-default,"39,000"
32,110000,100,727,Y,2190,5918,125665,0.370057,non-default,"41,275"
21,116000,100,546,N,1581,3345,130400,0.472646,non-default,"39,000"
28,86275,102,682,Y,3006,5409,245000,0.55574,non-default,"46,984"
32,99000,100,630,Y,1802,3800,129900,0.474211,non-default,"50,614"
44,169950,95,645,Y,1411,3612,144330,0.390642,non-default,"43,217"
36,151200,100,688,N,1342,3624,123000,0.370309,non-default,"40,171"
26,213750,95,785,N,895,2500,138000,0.358,non-default,"35,201"
52,181800,90,690,N,771,1705,134000,0.452199,non-default,"48,688"
23,107590,102,703,N,3040,5354,364950,0.5678,non-default,"48,688"
37,101700,90,680,N,1928,7824,144000,0.246421,non-default,"38,550"
31,140400,90,696,N,2435,5435,240000,0.448022,non-default,"44,160"
56,140000,80,785,N,1740,10208,411370,0.170455,non-default,"44,286"
28,136400,95,751,N,1389,5881,165000,0.236184,non-default,"49,894"
24,144400,95,727,N,845,2753,126000,0.306938,non-default,"44,476"
37,123500,95,744,N,1405,5212,157500,0.26957,non-default,"39,326"
24,56000,100,660,Y,6057,8147,188000,0.743464,non-default,"41,275"
29,274000,95,676,N,2243,5025,254481,0.446396,non-default,"44,286"
30,101200,100,608,N,1598,4568,183801,0.349825,non-default,"46,984"
40,109710,90,666,Y,1563,6468,164473,0.241651,non-default,"39,326"
37,155000,80,722,N,3324,5025,208000,0.661534,non-default,"51,022"
38,160000,100,524,Y,2523,3623,229320,0.696384,non-default,"49,894"
35,123000,100,614,Y,1982,7107,135000,0.27888,non-default,"35,523"
38,111000,98,691,N,1281,6435,175000,0.199068,non-default,"40,171"
32,111453,97,695,N,1606,5000,211000,0.3212,non-default,"51,022"
31,147175,102,800,N,1656,4855,232500,0.341092,non-default,"50,614"
34,301950,85,698,N,0,5025,200000,0,non-default,"56,772"
36,184416,85,683,Y,1147,2600,62000,0.441154,non-default,"44,476"
32,190500,99,672,N,873,5025,103500,0.173742,non-default,"40,171"
29,191175,102,788,N,1731,2786,130715,0.621321,non-default,"42,590"
28,230000,100,743,Y,1285,2400,135000,0.535417,non-default,"49,894"
48,135900,80,685,N,0,10722,344985,0,non-default,"44,286"
36,172800,80,673,N,1694,2873,120750,0.589628,non-default,"43,217"
37,176400,90,750,N,2205,9583,267500,0.230095,non-default,"55,914"
37,68500,100,606,Y,1230,4727,137400,0.260207,non-default,"40,171"
25,113000,88,652,N,2938,21000,270630,0.139905,non-default,"46,984"
24,100751,85,655,N,1586,6582,179900,0.24096,non-default,"44,228"
73,111500,100,789,N,2783,8227,409000,0.338276,non-default,"49,894"
45,171000,95,737,Y,2386,5297,194400,0.450444,non-default,"43,217"
26,259000,100,737,N,1054,1870,167156,0.563636,non-default,"43,217"
21,114136,100,642,Y,1487,3712,126000,0.400593,non-default,"40,171"
37,171000,100,628,Y,1598,5279,123800,0.302709,non-default,"40,171"
35,215910,90,555,Y,2819,4364,250000,0.645967,non-default,"49,894"
47,89000,100,678,N,2536,3562,171000,0.71196,non-default,"42,519"
37,156750,95,686,N,944,1700,65500,0.555294,non-default,"38,111"
37,160110,90,771,Y,2303,2821,147500,0.816377,non-default,"55,914"
37,189050,95,781,N,1199,3000,147500,0.399667,non-default,"42,590"
33,107488,102,733,N,1247,3417,180000,0.36494,non-default,"44,286"
37,119000,100,784,Y,1828,5833,190000,0.313389,non-default,"53,275"
35,83216,95,701,N,2865,5787,142680,0.495075,non-default,"43,217"
40,140000,100,627,N,4332,7876,64500,0.550025,non-default,"41,275"
47,130000,77,762,N,1989,5025,197000,0.395846,non-default,"44,476"
37,102000,80,725,Y,2607,9300,251480,0.280323,non-default,"53,275"
31,74900,100,737,N,1600,4919,80000,0.325269,non-default,"56,763"
29,141117,95,771,N,1203,4650,151500,0.25871,non-default,"47,220"
44,173850,95,661,N,2094,3073,140000,0.681419,non-default,"38,550"
37,225000,98,642,N,2427,5025,145000,0.483016,non-default,"43,217"
53,66000,100,776,N,1352,3167,126500,0.426902,non-default,"56,763"
40,292000,98,728,N,2094,3506,219381,0.597262,non-default,"40,171"
55,125800,97,813,N,630,3327,99000,0.18936,non-default,"53,275"
35,226500,99,556,Y,1610,3275,130000,0.491603,non-default,"56,763"
43,279000,90,560,N,1316,2944,90000,0.447011,non-default,"43,988"
26,111000,100,671,N,1133,5233,81500,0.216511,non-default,"38,111"
42,147050,100,597,Y,1461,3685,173695,0.396472,non-default,"43,217"
37,171000,100,693,N,2918,4926,226815,0.592367,non-default,"37,587"
26,157000,100,782,N,992,3077,135000,0.322392,non-default,"40,171"
37,90000,88,762,N,1314,5000,257000,0.2628,non-default,"49,894"
40,186400,90,702,N,0,5025,194000,0,non-default,"40,171"
32,123200,100,696,N,2659,6271,207000,0.424015,non-default,"48,688"
34,174600,90,558,Y,873,2108,75000,0.414137,non-default,"38,111"
37,124500,96,650,Y,2209,3947,239000,0.559666,non-default,"49,894"
29,97750,95,770,N,880,2283,89900,0.385458,non-default,"40,171"
37,160000,80,602,Y,1120,2322,99400,0.482343,default,"40,171"
26,121000,100,737,N,2610,6337,249951,0.411867,non-default,"48,688"
31,118030,97,745,N,2646,6563,253815,0.403169,non-default,"49,894"
37,242450,95,787,N,2757,8596,205000,0.320731,non-default,"56,763"
31,167000,100,630,N,1272,3637,101900,0.349739,non-default,"41,275"
37,135200,80,600,Y,1115,2900,133900,0.384483,non-default,"43,217"
65,60300,95,758,N,3397,7990,379990,0.425156,non-default,"49,894"
37,95000,100,618,Y,1959,4350,80000,0.450345,non-default,"41,275"
37,89000,100,674,N,1399,5200,149000,0.269038,default,"44,160"
54,116400,97,704,N,1674,3500,160000,0.478286,non-default,"40,171"
42,159900,89,720,N,1249,2899,55001,0.430838,default,"44,286"
39,217500,100,733,N,689,4400,109000,0.156591,non-default,"39,000"
36,399200,80,658,N,739,5025,92000,0.147074,non-default,"40,171"
28,161990,100,676,N,1111,2409,120057,0.461187,non-default,"43,217"
37,137000,100,723,N,701,4500,144000,0.155778,non-default,"53,275"
37,210000,100,709,N,2208,3718,203000,0.593868,non-default,"44,476"
37,209900,100,525,Y,2956,4336,166100,0.681734,non-default,"40,171"
35,23150,97,761,Y,1993,8459,143000,0.235607,non-default,"33,948"
36,220000,80,662,N,2614,5025,268500,0.520232,non-default,"44,228"
23,104150,95,708,Y,2973,8100,166000,0.367037,non-default,"35,523"
61,205000,90,688,Y,1521,2904,105000,0.52376,non-default,"40,171"
34,133600,97,751,N,1353,4500,178390,0.300667,non-default,"43,988"
28,218750,88,739,N,2377,3757,316000,0.632686,non-default,"45,787"
37,144150,95,685,Y,2250,2433,107800,0.924784,non-default,"40,171"
31,223155,95,700,N,889,2871,55000,0.309648,non-default,"40,171"
56,73477,97,740,N,1378,3750,58000,0.367467,non-default,"33,659"
48,113204,80,605,N,1774,4248,215501,0.417608,non-default,"49,894"
25,153500,97,622,N,0,2500,64000,0,non-default,"53,275"
34,227500,90,705,Y,1864,3253,60000,0.57301,non-default,"46,984"
36,96400,95,678,N,1643,6200,160100,0.265,default,"41,275"
34,117500,100,551,N,1601,3192,139624,0.501566,non-default,"43,217"
28,160000,100,678,N,2087,4602,148000,0.453498,non-default,"53,275"
52,207200,80,662,N,1308,2253,75000,0.580559,non-default,"40,171"
37,160000,80,772,N,1645,9000,220000,0.182778,non-default,"51,022"
28,165900,98,580,N,1172,2630,123990,0.445627,non-default,"39,000"
28,152500,97,597,Y,2049,4098,124000,0.5,non-default,"43,217"
29,175410,95,698,N,1311,2600,105000,0.504231,non-default,"45,787"
48,76000,95,729,Y,2853,6500,215000,0.438923,non-default,"56,772"
79,100636,97,789,N,2428,7291,248000,0.333013,non-default,"51,022"
21,93000,100,765,Y,3048,8115,178055,0.375601,non-default,"56,763"
27,135900,100,722,N,3226,6567,235000,0.491244,non-default,"40,171"
37,312000,80,708,N,859,5025,129500,0.170956,non-default,"49,894"
37,150000,100,653,Y,959,2253,92000,0.425655,non-default,"41,275"
37,98800,100,745,N,1675,6500,255000,0.257692,non-default,"49,894"
50,124450,95,704,N,2493,6547,174900,0.380785,non-default,"48,688"
37,360000,80,715,N,1634,8700,266000,0.187816,non-default,"56,763"
28,89500,78,558,Y,968,4069,114500,0.237896,non-default,"40,171"
50,167200,95,799,N,0,3000,70000,0,non-default,"40,171"
37,108810,90,631,N,1085,4819,138800,0.22515,non-default,"47,220"
37,91440,80,781,N,2105,8629,277000,0.243945,non-default,"43,217"
22,113500,100,738,N,1584,5833,130400,0.271558,non-default,"39,326"
37,164500,100,725,N,1084,4336,159900,0.25,non-default,"50,152"
37,206000,100,776,N,2211,3858,132000,0.573095,non-default,"48,688"
52,83000,100,676,N,1288,4602,168500,0.279878,non-default,"47,220"
51,152000,95,718,N,1264,2786,208000,0.453697,non-default,"42,617"
37,121000,91,754,Y,1598,3300,174900,0.484242,non-default,"56,763"
35,118400,100,694,N,3436,7930,210000,0.433291,non-default,"40,171"
27,111350,97,689,N,2056,5636,110500,0.364798,non-default,"35,523"
41,88000,80,759,Y,2975,5721,275018,0.520014,non-default,"40,171"
47,120000,100,675,Y,2922,6333,173000,0.461393,non-default,"40,171"
56,310000,74,748,N,0,5025,255236,0,non-default,"40,171"
45,66600,90,643,N,0,5025,122000,0,non-default,"56,763"
35,155128,100,685,N,964,4000,83000,0.241,non-default,"40,171"
26,172300,100,679,N,1379,2938,103000,0.469367,non-default,"42,519"
44,108000,90,571,Y,1754,5751,94000,0.30499,non-default,"33,948"
24,126600,85,653,N,2835,5072,257500,0.558951,non-default,"41,275"
52,103100,89,637,N,1308,4761,145000,0.274732,non-default,"48,688"
35,283500,90,702,Y,0,5025,186000,0,non-default,"55,970"
29,264195,95,614,N,1575,2600,143000,0.605769,non-default,"44,160"
37,178500,55,763,N,1775,5416,97500,0.327733,non-default,"43,988"
37,168500,100,713,N,617,1863,55000,0.331186,non-default,"39,000"
53,136000,100,661,N,1252,5644,136000,0.221828,non-default,"39,326"
41,149400,100,788,N,1218,3650,152000,0.333699,non-default,"49,894"
37,269900,100,784,N,869,2500,111000,0.3476,non-default,"42,590"
43,219200,80,745,Y,0,5025,60000,0,non-default,"49,894"
54,145000,94,756,N,1713,4042,152400,0.4238,non-default,"39,000"
40,103500,90,559,N,1327,3750,128067,0.353867,non-default,"43,217"
24,165000,100,626,N,1286,2425,140553,0.530309,non-default,"40,171"
34,139950,100,762,N,2140,5653,165000,0.37856,non-default,"43,003"
35,75000,100,642,N,0,6700,245000,0,non-default,"49,894"
56,117900,98,690,N,2521,5522,162900,0.456537,non-default,"38,550"
31,160000,100,733,N,456,2383,61000,0.191355,non-default,"39,000"
30,135920,80,636,N,1036,3020,135000,0.343046,non-default,"43,217"
33,66500,100,660,Y,2289,7047,164990,0.324819,non-default,"41,275"
32,159500,100,679,N,1293,3157,100000,0.409566,non-default,"45,787"
33,95200,80,627,N,1259,3441,127194,0.365882,non-default,"42,590"
37,284000,80,768,N,1088,2528,117100,0.43038,non-default,"46,984"
25,176711,102,747,N,763,2505,56000,0.304591,non-default,"33,948"
58,165000,78,670,N,3126,5025,152000,0.622129,non-default,"39,000"
28,133201,102,727,N,818,3199,95500,0.255705,non-default,"42,519"
34,179850,100,698,N,1568,4302,159000,0.364482,non-default,"37,587"
37,72000,100,537,Y,1204,5500,163750,0.218909,non-default,"39,000"
37,320000,80,781,Y,1278,5025,144500,0.254344,non-default,"49,894"
30,184050,100,645,N,401,1734,75347,0.231257,non-default,"43,988"
50,80000,87,742,N,2206,4711,123000,0.468266,non-default,"40,171"
27,183600,85,702,N,1544,5007,209000,0.308368,non-default,"44,476"
32,126600,97,684,N,1504,4618,98500,0.325682,non-default,"43,988"
37,248000,80,704,N,0,5025,91000,0,non-default,"40,518"
43,41225,97,766,N,4107,6484,320000,0.633405,non-default,"49,894"
45,269550,80,648,N,0,5025,116000,0,non-default,"56,772"
37,129600,80,787,N,3554,9419,325000,0.377322,non-default,"49,894"
36,159000,100,686,Y,1776,4025,95000,0.441242,non-default,"41,275"
38,148500,90,684,N,2054,12080,148500,0.170033,non-default,"49,894"
35,157680,99,730,N,2064,4643,143500,0.44454,non-default,"43,217"
75,229500,90,662,N,850,2200,76000,0.386364,non-default,"37,587"
37,40000,100,655,N,3076,6926,179252,0.444124,non-default,"43,217"
34,126367,102,700,N,2249,5618,153000,0.40032,non-default,"44,476"
37,256025,95,583,Y,978,3041,110000,0.321605,non-default,"45,787"
27,152000,95,741,N,956,4543,152000,0.210434,non-default,"44,228"
37,105000,100,741,N,1843,3880,229000,0.475,non-default,"45,787"
37,131850,90,553,N,1127,2976,99675,0.378696,non-default,"43,217"
27,225400,98,644,N,0,5025,139070,0,non-default,"44,476"
43,63500,100,701,N,1324,5950,231000,0.222521,non-default,"49,894"
34,83000,100,621,Y,0,7744,200000,0,non-default,"39,326"
29,133000,95,675,N,3145,5718,215000,0.550017,non-default,"40,171"
32,207060,102,660,N,546,1820,65500,0.3,non-default,"39,326"
20,64800,100,765,Y,3581,7352,235523,0.487078,non-default,"43,217"
35,322700,92,731,Y,1609,2333,96000,0.68967,non-default,"40,171"
31,129900,99,693,N,1821,5877,199900,0.309852,non-default,"46,984"
25,66445,97,635,Y,1649,4008,94250,0.411427,non-default,"43,217"
37,280000,80,629,N,3058,9752,177900,0.313577,non-default,"41,275"
37,45500,100,659,N,2306,5736,118000,0.402022,non-default,"49,894"
43,153351,102,620,Y,895,3656,85150,0.244803,non-default,"38,111"
36,102900,100,750,N,1898,4029,167000,0.471085,non-default,"49,894"
40,84600,98,616,N,1599,5150,168000,0.310485,non-default,"41,275"
48,61200,90,659,N,1634,5236,185000,0.31207,non-default,"45,787"
41,160500,97,756,N,828,2650,100000,0.312453,non-default,"42,590"
25,124700,100,625,N,2422,5586,149900,0.433584,non-default,"53,275"
27,107445,86,534,Y,2570,5338,162000,0.481454,non-default,"40,171"
31,53250,97,645,N,1719,6908,139901,0.248842,non-default,"41,275"
37,89000,70,680,N,1316,8951,89000,0.147023,non-default,"41,275"
28,141450,92,721,N,2737,6212,95000,0.440599,non-default,"40,171"
28,56150,97,727,Y,2041,7500,349990,0.272133,non-default,"49,894"
25,40850,97,652,N,0,6667,40850,0,non-default,"33,948"
46,165200,80,639,Y,0,5025,475000,0,default,"44,228"
34,145725,95,598,Y,1723,4000,188900,0.43075,non-default,"35,523"
40,135050,91,630,N,2151,4888,95100,0.440057,non-default,"53,275"
24,164800,97,658,N,1497,4391,151500,0.340925,non-default,"42,617"
22,90000,100,604,Y,1372,5249,104500,0.261383,non-default,"53,275"
33,123000,100,690,N,1421,4500,160000,0.315778,non-default,"41,275"
37,118000,100,784,N,2659,9700,464950,0.274124,non-default,"49,894"
34,88000,80,688,N,0,5025,154000,0,non-default,"40,171"
37,152000,80,672,N,3593,9166,245000,0.391992,non-default,"44,476"
51,270000,90,739,Y,1284,3047,150000,0.421398,non-default,"40,171"
34,153900,100,665,N,2251,5247,111500,0.429007,non-default,"38,550"
31,58200,97,525,N,2604,7434,155000,0.350282,non-default,"38,550"
37,179000,100,747,N,2343,6083,300700,0.385172,non-default,"43,003"
37,225000,90,760,Y,1515,2840,144950,0.533451,non-default,"48,688"
42,255510,90,692,Y,1237,2708,118000,0.456795,non-default,"45,787"
28,124450,95,810,N,2562,6185,149900,0.414228,non-default,"55,970"
48,137250,95,755,Y,5182,10667,216373,0.485797,non-default,"40,171"
37,150000,66,710,N,4227,12380,75900,0.341438,non-default,"41,275"
46,162000,100,590,Y,1554,4000,135000,0.3885,non-default,"40,171"
34,189003,102,718,N,1339,3900,189003,0.343333,non-default,"49,894"
36,191920,80,645,N,2155,2289,101300,0.941459,non-default,"39,000"
37,141500,100,504,N,1589,4250,104100,0.373882,non-default,"43,217"
54,116900,100,704,N,1968,6108,177500,0.3222,non-default,"56,763"
41,160268,102,720,N,746,3250,98500,0.229538,non-default,"39,000"
55,197000,90,716,N,1414,2772,149900,0.510101,non-default,"49,894"
29,256450,100,694,N,1041,1710,133000,0.608772,non-default,"47,220"
40,189400,80,600,N,4292,11935,250219,0.359615,non-default,"39,000"
37,97500,100,709,Y,3108,7105,110000,0.437438,non-default,"40,171"
26,299500,100,619,Y,1976,3208,206000,0.61596,non-default,"45,787"
37,209000,95,631,Y,1388,3883,102000,0.357456,non-default,"40,171"
25,44300,98,741,N,1828,8500,219000,0.215059,non-default,"42,590"
42,227000,99,768,N,2405,5712,72000,0.421043,non-default,"56,763"
35,143000,97,772,N,1887,6000,172500,0.3145,non-default,"44,476"
39,98850,95,672,Y,1446,3706,196000,0.390178,non-default,"53,275"
33,131848,102,647,N,3221,3222,148000,0.99969,non-default,"45,787"
28,81900,100,727,N,1263,6200,81900,0.20371,non-default,"42,617"
28,143900,100,808,N,1628,5233,399000,0.311103,non-default,"44,228"
24,196400,80,572,Y,624,1782,85000,0.350168,non-default,"35,523"
33,105109,100,667,N,0,5841,125000,0,non-default,"41,275"
30,60900,97,673,N,1320,15000,145000,0.088,default,"53,275"
23,46000,100,704,N,2781,7408,254901,0.375405,non-default,"40,171"
21,117000,90,667,Y,1872,3500,131000,0.534857,non-default,"39,326"
36,172550,102,663,N,1141,2576,116500,0.442935,non-default,"42,590"
32,96000,100,798,N,1847,5506,153000,0.335452,non-default,"39,326"
37,249275,99,762,N,857,3000,79700,0.285667,non-default,"38,550"
37,192169,100,726,Y,1867,3373,198001,0.553513,non-default,"48,688"
52,152800,80,748,Y,1137,3698,79900,0.307463,non-default,"40,171"
67,105450,95,524,Y,1311,3120,144000,0.420192,non-default,"38,550"
36,179800,95,517,Y,1920,3430,89900,0.559767,non-default,"35,523"
28,169000,100,797,N,1811,4959,177834,0.365195,non-default,"43,217"
36,65800,100,769,N,1365,4777,65800,0.285744,non-default,"48,688"
28,102000,100,600,N,2236,4774,201225,0.46837,non-default,"44,160"
40,155000,92,663,Y,1389,3277,122000,0.423863,non-default,"40,171"
70,136700,100,748,N,2224,5404,182000,0.411547,non-default,"43,003"
56,61600,100,677,Y,2615,7333,239000,0.356607,non-default,"43,003"
33,156878,90,696,N,1056,2064,109000,0.511628,non-default,"43,988"
45,63050,97,763,Y,1340,5375,186000,0.249302,non-default,"56,763"
31,121600,95,743,N,1349,3167,126685,0.425955,non-default,"43,217"
34,90000,100,769,N,1708,8228,186950,0.207584,non-default,"41,275"
37,171000,98,746,N,1758,2592,107400,0.678241,non-default,"38,550"
45,126000,97,794,Y,774,2700,89900,0.286667,non-default,"51,022"
47,99900,80,665,N,2561,4167,115700,0.614591,non-default,"44,286"
43,223000,95,704,Y,1182,2967,115000,0.398382,non-default,"56,763"
31,119495,95,681,N,1676,3047,91500,0.550049,non-default,"40,171"
37,237650,100,654,N,1333,2815,143000,0.473535,non-default,"57,352"
25,131400,90,698,N,1321,2262,102500,0.583996,non-default,"43,042"
47,134900,100,737,N,2089,5985,126000,0.349039,non-default,"53,275"
26,169653,97,742,N,1045,2450,94000,0.426531,non-default,"53,275"
44,125000,100,737,N,1698,5539,219000,0.306554,non-default,"55,914"
37,116300,97,638,N,5529,5025,300000,1.100368,non-default,"44,228"
43,164900,87,618,Y,1789,3986,190000,0.448821,non-default,"49,894"
53,45000,100,788,Y,804,6289,89000,0.127842,non-default,"38,550"
28,104700,98,650,Y,2923,7000,330000,0.417571,non-default,"52,354"
27,80000,100,610,N,2263,7250,157000,0.312138,non-default,"40,171"
33,137750,95,669,Y,1565,3577,72500,0.437517,non-default,"41,275"
38,195700,95,602,Y,2351,4235,178175,0.555136,non-default,"40,171"
31,65000,100,585,N,0,6240,123943,0,default,"42,590"
67,115862,95,753,N,872,2022,125000,0.431256,non-default,"33,948"
46,125999,100,606,Y,1181,5493,182000,0.215001,non-default,"57,352"
23,251980,85,772,N,1362,4218,97000,0.322902,non-default,"41,275"
25,184203,97,621,N,1009,3564,120500,0.283109,non-default,"42,590"
37,221600,80,748,N,594,1510,48400,0.393377,non-default,"56,763"
31,172160,80,750,Y,1122,2571,75000,0.436406,non-default,"45,787"
37,163770,100,643,Y,668,2531,85000,0.263927,non-default,"53,275"
37,180000,90,657,Y,571,2080,61600,0.274519,default,"42,590"
41,111000,92,773,N,1122,5264,237000,0.213146,non-default,"47,220"
